NUMSWITCH 15
NUMLINK 56
# src dst link_num capacity
1 2 1 100
1 3 2 100
1 4 3 100
2 1 4 100
2 3 5 100
2 5 6 100
2 11 7 100
3 1 8 100
3 2 9 100
3 4 10 100
3 6 11 100
3 7 12 100
4 1 13 100
4 3 14 100
4 8 15 100
4 9 16 100
5 2 17 100
5 12 18 100
6 3 19 100
6 7 20 100
6 10 21 100
6 11 22 100
7 3 23 100
7 6 24 100
7 9 25 100
7 10 26 100
8 4 27 100
8 9 28 100
9 4 29 100
9 7 30 100
9 8 31 100
9 10 32 100
9 15 33 100
10 6 34 100
10 7 35 100
10 9 36 100
10 11 37 100
10 13 38 100
10 14 39 100
11 2 40 100
11 6 41 100
11 10 42 100
11 12 43 100
11 13 44 100
12 5 45 100
12 11 46 100
12 13 47 100
13 10 48 100
13 11 49 100
13 12 50 100
13 14 51 100
14 10 52 100
14 13 53 100
14 15 54 100
15 9 55 100
15 14 56 100
